poll_id,label,accepted,committee,url
5957,Lockerung der Schuldenbremse,True,Haushaltsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/lockerung-der-schuldenbremse
5871,Verlässliches Hilfesystem bei geschlechtsspezifischer und häuslicher Gewalt ,True,"Ausschuss für Familie, Senioren, Frauen und Jugend",https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaessliches-hilfesystem-bei-geschlechtsspezifischer-und-haeuslicher-gewalt
5868,Verlängerung des Bundeswehreinsatzes EUNAVFOR MED IRINI im Mittelmeer,True,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-eunavfor-med-irini-im-mittelmeer
5867,Verlängerung des Bundeswehreinsatzes UNMISS im Südsudan,True,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-unmiss-im-suedsudan
5865,"Entschließungsantrag ""27 Maßnahmen zur Stärkung innerer Sicherheit""",False,,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/entschliessungsantrag-27-massnahmen-zur-staerkung-innerer-sicherheit
5864,Zustrombegrenzungsgesetz,False,Ausschuss für Inneres und Heimat,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/zustrombegrenzungsgesetz
5861,"Entschließungsantrag ""Fünf-Punkte-Plan"" zur Migrationspolitik",True,,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/entschliessungsantrag-fuenf-punkte-plan-zur-migrationspolitik
5860,Verlängerung des Bundeswehreinsatzes EUNAVFOR ASPIDES im Roten Meer,True,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-eunavfor-aspides-im-roten-meer
5859,Verlängerung des Bundeswehreinsatzes SEA GUARDIAN im Mittelmeer,True,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-sea-guardian-im-mittelmeer-1
5841,Regelungen zum Bundesverfassungsgericht ins Grundgesetz,True,Rechtsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/regelungen-zum-bundesverfassungsgericht-ins-grundgesetz
